geom_type,lon,lat,@id,bench,bin,bus,covered,highway,lit,local_ref,name,public_transport,ref,tactile_paving,wheelchair,addr:country,operator,shelter,network,check_date,check_date:bench,check_date:bin,check_date:shelter,check_date:tactile_paving,departures_board,mapillary,ref:signed,note,transportation,pole,phone,alt_name,bus_stop:category,was:highway,survey:date,fixme,amenity,facility_manager,source:position,status,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,name:signed,name:en
Point,-8.6813859,37.1025461,node/11757909789,,,,,bus_stop,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.411132,6.610121,node/12281590817,,,,,bus_stop,,,Owode Orini,,,,,,state government,,,,,,,,,,,,,,,,,,,,,state government,gps,functional,yes,yes,yes,yes,yes,yes,,
Point,-8.7778139,37.2159333,node/12570701186,no,no,yes,,bus_stop,yes,,,platform,,no,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,no,
Point,3.5842821,6.4695611,node/13255237272,,,yes,,bus_stop,,,Abraham Adesanya,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.8439711,6.4751252,node/13597480726,,,yes,,bus_stop,,,Eleko Junction,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6762406,37.1076753,node/13713262412,yes,,yes,,bus_stop,,,Interface Rodoviario Municipal de Lagos,platform,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6760529,37.1077761,node/13713262413,yes,no,yes,,bus_stop,,,Interface Rodoviario Municipal de Lagos,platform,,no,,,,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
Point,-8.6762946,37.1075964,node/13739716924,yes,,yes,,bus_stop,,,Terminal Rodoviario,platform,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6759601,37.1077402,node/13740051745,,,yes,,bus_stop,,4,Terminal Rodoviário - Outros Operadores,platform,4,no,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other operators
Point,-8.6760252,37.1076996,node/13740051746,,,yes,,bus_stop,,3,Terminal Rodoviário - Vamus,platform,3,no,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6760993,37.1076659,node/13740051747,,,yes,,bus_stop,,2,Terminal Rodoviário - Flixbus,platform,2,no,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.676165,37.1076431,node/13740051748,,,yes,,bus_stop,,1,"Terminal Rodoviário - Onda Linhas 4, 6, 8",platform,1,no,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
