geom_type,lon,lat,@id,amenity,name,short_name,wikidata,wikipedia,@geometry,addr:city,addr:postcode,addr:street,barrier,contact:email,contact:phone,grades,operator,operator:ref,operator:type,ref,ref:qzp,disused,contact:fax,building,check_date,contact:website,alt_name,website,addr:housenumber,email,phone,religion,survey:date,surface,official_name,source,denomination,isced:level,landuse,playground,fax,ref:aeep,addr:place,name:en,addr:housename,education,description,image,min_age,opening_hours,wheelchair,Latitude,Longitude,ref:UAI,school:FR,facility_amount,facility_pay,facility_use,source:position,status,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,internet_access,level,start_date
Point,3.4368853,6.4530562,way/504468148,school,Lagos Preparatory School,,Q6472609,,center,Lagos,,Glover Road,,,,,,,,,,,,,,,,,36-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4067544,6.4390061,way/507665758,school,Netherlands International School Lagos,,,,center,Lagos,,Walter Carrington Crescent,,,,,,,,,,,,,,,,,13A/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3875044,6.5331414,way/525043233,school,CMS Grammar School,,Q5013015,"en:CMS Grammar School, Lagos",center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4345058,6.4368951,way/537017448,school,American International School Lagos,,Q20312652,,center,Lagos,,Federal Housing Complex Road,,,,,,,,,,,,,,,,,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4360027,6.4264662,way/537017477,school,Lycée Français Louis Pasteur,,Q19572739,en:Lycée Français Louis Pasteur de Lagos,center,Lagos,,Younis Bashorun Street,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4356498,6.4275215,way/537017478,school,Methodist Boys' High School,,,,center,Lagos,,Sinari Daranijo Street,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3523644,6.5879065,way/537017561,school,Avi-Cenna International School,,Q21481035,en:Avi-Cenna International School,center,Lagos,,Harold Sodipo Crescent,,,,,,,,,,,,,,,,https://avi-cenna.com/,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4133281,6.4340753,way/537017590,school,Corona School Victoria Island,,,,center,,,Waziri Ibrahim Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5881247,6.4660267,way/539288411,school,Greater Scholars International School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4503971,6.4475883,way/540869065,school,Saint Saviour's School Ikoyi,,,,center,Lagos,,Alexander Avenue,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.446499,6.4608108,way/540869075,school,Greenwood House School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3500371,6.5891803,way/540869127,school,Police College Ikeja,,,,center,Lagos,,Oba Akinjobi Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.340025,6.5977362,way/541689636,school,New Horizons Nigeria Ikeja Campus,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-99.5267233,27.4472255,way/543921634,school,Centro de Bachillerato Tecnológico Industrial y de Servicios No. 137 (CBTis 137),,,,center,,,,,,,1-6,,,,,,,,,,,,https://www.cbtis137.edu.mx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4718941,6.440087,way/544212470,school,The Rock Montessori School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4657372,6.4449396,way/544212474,school,Enrico Mattei Italian International School Lagos,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4677421,6.4346932,way/551350580,school,Lagoon School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4709945,6.4441181,way/555290455,school,Lekki British School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4714482,6.4451984,way/555290499,school,Lekki British Junior School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4704193,6.4469808,way/555290536,school,Crisland School Lekki,,,,center,,,Olubunmi Owa St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4657428,6.428543,way/555290584,school,Ocean Crest School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.9411225,6.5723433,way/558906221,school,Neander International School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4370071,6.4441535,way/560190818,school,Corona Primary School Ikoyi,,,,center,Lagos,,Mekunwen Road,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.436466,6.4440798,way/560190843,school,Hope and Ireti Primary Schools,,,,center,Lagos,,Mekunwen Road,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4539444,6.4637521,way/570559570,school,Banana Island School,,,,center,Lagos,,227 Close,,,,,,,,,,,,,,,,https://www.bananaislandschool.com/,,mail@bananaislandschool.com,+234 812 992 7447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4271921,6.4565915,way/570559588,school,St. John Paul II School,,,,center,Lagos,,Glover Road,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4452189,6.451192,way/570657230,school,Home Science Association Nursery & Primary School Ikoyi,,,,center,Lagos,,Ruxton Street,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4458354,6.4272748,way/599054420,school,Whiteoak School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.364235,6.551784,way/604386577,school,Indian Language School Lagos,,,,center,Lagos,,Aina George Street,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3757089,6.6048007,way/611247774,school,Caleb Secondary School,,,,center,Ikeja,,CMD Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3508964,6.5743539,way/611586860,school,STT&T,,,,center,,,Remi Fani-Kayode Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4386782,6.4363681,way/627612253,school,Victoria Island Nursery & Primary School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5389765,6.5517481,way/680465790,school,Community Secondary School Baiyeku,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.522406,6.5879719,way/680466348,school,Zumratul Islamiya Grammar school,,,,center,,,Obafemi Awolowo way,,,,,Lagos state Govt,,,,,,,,,,,,,,,muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.346115,6.5912841,way/704995747,school,Police Training School Ikeja,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2694329,6.6737595,way/705854752,school,African Church Primary School,,,,center,,,,,,,,Lagos State Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2894984,6.5654708,way/707826539,school,"Chrisland College, Idimu",,,,center,,,,,,,,,,,,,,,,,,,https://chrislandschools.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3885538,6.5537466,way/707853512,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3901616,6.5350331,way/707858106,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3869367,6.5312222,way/707858107,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3766938,6.6297632,way/733601658,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3726695,6.6373114,way/733604260,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3946134,6.6003259,way/733621371,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.396706,6.5932841,way/733621397,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2776729,6.51518,way/733633242,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2911168,6.5226964,way/733633243,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2814764,6.6063171,way/734438171,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.376441,6.5276409,way/735024470,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2760129,6.4510614,way/735119438,school,Nigerian Navy Secondary School Ojo,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3799301,6.6176488,way/735140638,school,Supreme High School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2669662,6.5535797,way/737290198,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2653711,6.5451002,way/739531714,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.249471,6.5531928,way/739531715,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2475889,6.5506574,way/739536563,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3711133,6.5282902,way/741295045,school,Igbobi College,,Q16733645,en:Igbobi College,center,,,,,,,,,,,,,,,,,,,https://igbobicollegeyaba.com,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3728989,6.5272591,way/741295046,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3736701,6.5275513,way/741295047,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,2022-01-07,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.372891,6.5289891,way/741295048,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.135132,6.4908115,way/741313010,school,Federal Government College Lagos,,Q5440236,en:Federal Government College Lagos,center,,,,,,,,,,,,,,,,,,,https://fgclagos.org.ng/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3289906,6.6183354,way/741343401,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3830907,6.579976,way/742237732,school,Ogudu GRA School Complex,,,,center,,,Emmanuel Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3395374,6.5531429,way/742327210,school,Afariogun Primary school,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4746981,6.5536601,way/742515535,school,Methodist Primary School,,,,center,Ibeshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4752699,6.5570062,way/742519253,school,Keme Balogun College,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4780854,6.5638176,way/742564560,school,Kith & Kin Educational Schools,,,,center,,,,,,,,,,,,,,,,,,,https://www.kithandkinschools.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.497737,6.6061381,way/742626635,school,Unique Blossom school,,,,center,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.501833,6.6199468,way/742626665,school,Ayangburen Primary School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5015079,6.6185674,way/742626666,school,Ayangburen Senior High School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.588915,6.58384,way/742638091,school,Mahmud Ahmadiyya College,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5878936,6.6023681,way/742652352,school,Methodist Primary School,,,,center,Oke-Eletu,,Dede Road,,,,,,,,,,,,,,,,,55,,,,,,"Methodist Primary School, Oke-Eletu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5819829,6.608666,way/742652375,school,Kingsfield College,,,,center,Oke-Eletu,,Ijede Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5925306,6.5701233,way/742675433,school,Anwar ul Islam Primary School,,,,center,Ijede,,Oke-Oyinbo Street,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5504407,6.5386602,way/743165529,school,"Local Government Primary School, Baiyeku",,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3725523,6.5754735,way/744442353,school,Halifield Schools,,,,center,,,,,,,,,,,,,,,,,,,https://www.halifieldschools.com.ng/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3433534,6.5533691,way/744474963,school,Ewenla Primary School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3463917,6.5595838,way/744474986,school,Oshodi Primary School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,mapillary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3460384,6.5571076,way/744475002,school,Methodist Primary School,,,,center,Oshodi,,,,,,,,,,,,,,,,,,,,,,,,,"Methodist Primary School, Oshodi",mapillary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3446308,6.5534891,way/744486419,school,Ideal Primary School,,,,center,Oshodi,,,,,,,,,,,,,,,,,,,,,,,,,"Ideal Primary School, Oshodi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.344998,6.5540211,way/744486420,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3594369,6.5548295,way/744497152,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1226026,6.4766027,way/744502262,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2628873,6.5439655,way/744690447,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1114732,6.4999145,way/745380537,school,Adeniran Ogunsanya College of Education,AOCOED,Q20646619,en:Adeniran Ogunsanya College of Education,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.6704332,6.6616103,way/745396773,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5660669,6.6161704,way/745470838,school,Methodist Primary School,,,,center,elepe Igbogbo,,,,,,,,,,,,,,,,,,,,,,,,,"Methodist Primary School, Elepe Igbogbo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5690407,6.6145652,way/745470839,school,Elepe Community Secondary School,,,,center,Lagos,,Ijede Road,,,,,,,,,,,,,,,,,,,,,,,Elepe Community Junior/Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5654826,6.6129481,way/745489595,school,Tiakod College,,,,center,,,,,,,,,,,,,,,,,,,http://www.tiakodschools.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5656316,6.6133713,way/745489598,school,Tiakod School,,,,center,,,,,,,,,,,,,,,,,,,http://www.tiakodschools.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5918003,6.5800927,way/746008859,school,Luwasa High School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,"Luwasa High School, Ijede",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5193781,6.5966262,way/746021160,school,Lagos State Civil Service College,,,,center,Igbogbo,,Oba Omolaja Road,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5171645,6.596905,way/746021161,school,Methodist Primary School,,,,center,Igbogbo,,Oba Omolaja Road,,,,,,,,,,,,,,,,,61,,,,,,"Methodist Primary School, Igbogbo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5171575,6.6065944,way/746021162,school,Oriwu Senior Model College,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3936664,6.606686,way/747161017,school,Baptist School,,,,center,,,Ikorodu Road,,,,,,,,,,,,,,,,,590,,,,,,"Baptist School, Mile 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3283676,6.4719052,way/747165516,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3796172,6.6000557,way/747279127,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3805128,6.5987644,way/747279128,school,Ikosi Senior High School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3486985,6.6119047,way/747302256,school,,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3618078,6.6260518,way/747457399,school,Mind Builders School,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5990127,6.6382465,way/747461611,school,Babington Macaulay Junior Seminary,BMJS,Q4837914,en:Babington Macaulay Junior Seminary,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
