geom_type,lon,lat,@id,building,check_date,name,stars,tourism,@geometry,addr:housename,addr:city,addr:postcode,addr:street,contact:phone,contact:website,landuse,air_conditioning,bar,brand,brand:wikidata,contact:facebook,contact:instagram,description,email,image,internet_access,internet_access:fee,opening_hours,operator,payment:credit_cards,payment:debit_cards,phone,reservation,rooms,smoking,source,website,wheelchair,wikidata,addr:housenumber,height,check_date:internet_access,breakfast,swimming_pool,building:part,alt_name,name:en,name:zh,brand:wikipedia,start_date,wikipedia,access,leisure,amenity,park_ride,parking,supervised,surface,addr:country,building:levels,addr:state,payment:american_express,payment:cash,payment:cheque,payment:mastercard,payment:visa,contact:email,contact:fax,contact:mobile,layer,payment:diners_club,payment:discover_card,payment:maestro,payment:visa_electron,note,addr:place,name:nl,name:pt,internet_access:ssid,facility_manager,source:position,status,facility_use,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,accommodation
Point,3.4180743,6.4565832,way/560577489,yes,,Elion House Hotel,,hotel,center,,Lagos,,Agbeke Rotinwa Street,,,,,,,,,,,,,,,,,,,,,,,,,,,7/8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.434137,6.4328774,way/560577506,yes,,Morning Side Suites and Spa Victoria Island,,hotel,center,,Lagos,,Etim Iyang Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,200C,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.445678,6.4536276,way/567150382,,,The Wheatbaker Hotel,,hotel,center,,Lagos,,Lawrence Road,,,commercial,,,,,,,,,,,,,,,,+234 1277 3560,,,,,https://thewheatbakerlagos.com/,,,4,,,,,,Wheatbaker Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4392898,6.4503492,way/567150388,,,La Cour Boutique Hotel,,hotel,center,,Lagos,,Femi Okunnu Road,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4363936,6.4547165,way/567150407,,,The George Hotel,,hotel,center,,Lagos,,Lugard Avenue,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4300825,6.4540372,way/567150424,,,Southern Sun Ikoyi,,hotel,center,,Lagos,,Alfred Rewane Road,,,commercial,,,,,,,,,,,,,Sun International,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4305218,6.454602,way/567150429,,,,,hotel,center,,,,Alfred Rewane Road,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Gate Hotel,金門大酒樓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4243341,6.4543301,way/567150448,,,The Moorhouse Hotel,,hotel,center,,Lagos,,Bankole Oki Street,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4291224,6.455127,way/567150458,,,Casa Lydia,,hotel,center,,Lagos,,Glover Road,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4446252,6.436269,way/567150461,,,Lagos Oriental Hotel,,hotel,center,,Lagos,,Foreshore Road,,,commercial,,,,,,,,,,,,,,,,+234 702 696 00 65,,,,,http://www.lagosoriental.com/,,Q132673407,,,,,,,Lekki Oriental Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4228473,6.4348921,way/567150463,,,The Lagos Continental Hotel,,hotel,center,,Lagos,,Kofo Abayomi Road,,,commercial,,,,,,,,,,,,,,,,,,,,,,,Q111408940,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4431444,6.4334735,way/567150464,,,Four Points by Sheraton Lagos,,hotel,center,,Lagos,,Prince Alabe Abiodun Oniru Road,,,commercial,,,,,,,,,,,,,,,,+234 1 448 9444,,,,,,,,9/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4388345,6.4310225,way/567150465,,,Victoria Crown Plaza Hotel,,hotel,center,,Lagos,,Ajose Adeogun Street,,,commercial,,,,,,,,,,,,,,,,+234 703 188 1523,,,,,https://vcphotels.com/,,,292B,,,,,,VCP Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4154307,6.4264138,way/567150466,,,The Blowfish Hotel,,hotel,center,,Lagos,,Oju Olobun Close,,,commercial,,,,,,,,,,,,,,,,,,,,,https://theblowfishgroup.com/hotel/,,Q111871548,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4386772,6.4247673,way/567150467,,,Protea Hotel Lagos Kuramo Waters,,hotel,center,,,,Kuramo Waters Close,,,commercial,,,Protea Hotel,Q17092570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4586808,6.428603,way/567150468,,,Arirang Hotel,,hotel,center,,Lagos,,T.F. Kuboye Road,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4169192,6.4368072,way/567150469,,,Radisson Blu Anchorage Hotel Lagos,,hotel,center,,Lagos,,Ozumba Mbadiwe Road,,,commercial,,,Radisson Blu,Q7281341,,,,,,,,,Carlson Hotels,,,,,,,,,,Q108908687,1A,,,,,,,,,en:Radisson Blu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4087859,6.4434338,way/567150474,,,Westwood Hotel Ikoyi,,hotel,center,,Lagos,,Awolowo Road,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4072574,6.4307931,way/567150477,,,Federal Palace & Casino,,hotel,center,,Lagos,,Ahmadu Bello Way,,,commercial,,,,,,,,reservations@suninternational.com,"https://commons.wikimedia.org/wiki/File:Federal_palace_hotel,Victoria_island,Lagos.jpg",,,,,,,+23412779000,,,,,http://www.suninternational.com/federal-palace,,Q5440324,6-8,,,,,,Federal Palace Hotel,,,,1960,en:Federal Palace Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4301126,6.4270023,way/567964434,,,Eko Hotel,,hotel,center,,,,Adetokunbo Ademola Street,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4168622,6.4330558,way/567964435,,,Atlantic Hotel & Suites,,hotel,center,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4714018,6.4468877,way/568364469,,,Dover Hotel,,hotel,center,,Lagos,,Olubunmi Owa Street,,,commercial,,,,,,,,,,,,,,,,+234 8036289680,,,,,https://thedoverhotels.com/,,,16,,,,,,Dover Hotel Lekki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4701759,6.4459028,way/568364472,,,Lilygate Hotel,,hotel,center,,Lagos,,Olubunmi Owa Street,+234 190 49000,,commercial,,,,,,,,info@lilygatelagos.com,,,,,,,,,,,,,https://www.lilygatelagos.com/,,,2,,,,,,Lilygate Hotel Lekki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3586881,6.5818978,way/568367622,,,Radisson Blu Hotel Lagos Ikeja,,hotel,center,,,,Isaac John Street,,,commercial,,,Radisson Blu,Q7281341,,,,,,,,,,,,,,,,,https://www.radissonblu.com/en/hotel-lagos-ikeja,,,38/40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3583232,6.5826913,way/568367623,,,Radisson Hotel Lagos Ikeja,,hotel,center,,Ikeja,,Isaac John Street,,,commercial,,,Radisson,Q1751979,,,,,,,,,,,,,,,,,https://www.radisson.com/ikeja-lagos-hotel-ng/loszb,,,42/44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3578121,6.5836272,way/568367625,,,Primal Hotel,,hotel,center,,Ikeja,,Isaac John Street,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.360298,6.5835338,way/568367630,,,Sheraton Lagos Hotel,,hotel,center,,Ikeja,,Mobolaji Bank-Anthony Way,,,commercial,,,Sheraton,Q634831,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3560327,6.6140127,way/568367633,,,De Renaissance Hotel,,hotel,center,,Ikeja,,Obafemi Awolowo Way,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3570053,6.6166622,way/568367639,,,Protea Hotel Ikeja Select,,hotel,center,,Ikeja,,Assibifi Road,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3268589,6.5424715,way/568367647,,,Swiss International D' Palms Airport Hotel,,hotel,center,,Ikeja,,Kolawole Shonibare Street,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,10/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3297213,6.5509674,way/568367648,,,Ibis Hotel Lagos Airport,,hotel,center,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3273775,6.5540533,way/568367652,,,Welcome Centre Hotels,,hotel,center,,Lagos,,International Airport Road,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3278014,6.5544894,way/568367653,,,Royal View Hotel and Suites,,hotel,center,,Lagos,,Adeola Ajayi Crescent,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,5/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4360133,6.4518974,way/570559522,,,The Executive Spot & Hotel,,hotel,center,,Lagos,,Glover Court,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4135596,6.428767,way/591805690,,,Hotel Victoria Palace,,hotel,center,,,,Danmole Street,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4149762,6.4407297,way/592191596,,,Tivoli Garden Ikoyi Waterfront,,hotel,center,,Lagos,,Olokun Street,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4374461,6.4306435,way/592201412,,,Sphinx Suites,,hotel,center,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4189042,6.434235,way/593494025,,,Béni Gold,,hotel,center,,Lagos,,Adeleke Adedoyin Street,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4449572,6.4468866,way/597498804,yes,,The Belmonte Privé,,hotel,center,,Lagos,,Bourdillon Road,,,,,,,,,,,,,,,,,,,+2349070002006,,,,,https://www.belmontenigeria.com/,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4106564,6.427435,way/599458877,,,Morning Sides Suites,,hotel,center,,Lagos,,Taslim Eliat Close,,,commercial,,,,,,,,,,,,,,,,,,,,,,,Q112011650,11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4265257,6.4231843,way/604051558,,,The Avenue Suites,,hotel,center,,,,Tiyamu Savage Street,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.54343,6.4434287,way/604715756,,,Orchid Hotel,,hotel,center,,Lagos,,Dreamworld-Africana Way,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5420773,6.4443978,way/604715761,,,Eastgate Hotel Lagos,,hotel,center,,Lagos,,Dreamworld-Africana Way,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.540443,6.4438737,way/604715767,,,Diamond View Hotel,,hotel,center,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.346702,6.606916,way/610011072,,,Lagos Airport Hotel,,hotel,center,,Ikeja,,Obafemi Awolowo Way,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4418682,6.4251924,way/610029919,,,Solitude Hotel,,hotel,center,,Lagos,,T.Y. Danjuma Street,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4286044,6.4258425,way/620981440,,,,,hotel,center,,Lagos,,Adetokunbo Ademola Street,,,,,,,,,,,,,,,,fahrenheit hospitality,,,,,,,,,,,80,,,,,,,,,,,,customers,swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4286529,6.4258906,way/620982914,,,,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,parking,no,surface,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3478755,6.6043639,way/622382843,yes,,Haute Aparthotel,,hotel,center,,Ikeja,100282,Alade Avenue,,,,,,,,,,,,,wlan,no,,,,,+234 703 373 5868,,,,,,,,9,,,,,,,,,,,,,,,,,,,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3547842,6.5973861,way/625093257,hotel,,Best Western Plus Lagos Ikeja Hotel,,hotel,center,,,,,,,,,,Best Western Plus,Q830334,,,,,,,,,Best Western,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3551621,6.596602,way/625093266,hotel,,Zaaz,,hotel,center,,Ikeja,100281,Allen Avenue,,,,,,,,,,,,,,,,,,,,,,,,http://zaazhotels.com/,,,4,,,,,,,,,,,,,,,,,,,NG,2,Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4482338,6.4319839,way/625645028,,,Golden Tulip Suites,,hotel,center,,Lagos,,Elegba Festival Drive,+234 8 175545555,,commercial,,,,,,,,,,,,,,,,,,,,,https://www.goldentulip.com/en-us/?sr=OTHER,,,,,,,,,Golden Tulip Oniru Suites Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4285686,6.4259631,way/625645030,,,Maison Fahrenheit,,hotel,center,,Lagos,,Adetokunbo Ademola Street,,,commercial,,,,,,,"With an unparalleled and stunning design, this “Hip” Luxury Boutique Hotel in the heart of Victoria Island, Lagos offers an encounter like no other.",info@maisonfahrenheit.com,,,,,,,,+234 1 905 4800,,,,,https://www.maisonfahrenheit.com/,,,80,,,,,,Maison Fahrenheit Hotel Victoria Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.5791571,6.4540219,way/629564865,,,CVilla,,hotel,center,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3247517,6.5730785,way/629564941,,,"Legend Hotel Lagos Airport, Curio Collection by Hilton",5,hotel,center,,Lagos,,Quits Aviation Free Trade Zone,,,commercial,,,Curio Collection by Hilton,Q19903229,,,,legendhotel.reservations@hilton.com,,wlan,no,,Hilton,,,+234 201 460 8200,,54,no,,https://www.hilton.com/en/hotels/loslhqq-legend-hotel-lagos-airport/,yes,Q111871544,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4484942,6.4504211,way/653040824,yes,,Clear essence california spa & wellness resort,,hotel,center,,Ikoyi Lagos,,Alexander Avenue,,,,,,,,,,,reservations@clearessencecaliforniaspa.com,,wlan,,,,,,+2348085867565,,,,,https://www.clearessencecaliforniaspa.com,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3989302,6.5218256,way/653186159,yes,,Guest House,,hotel,center,,Lagos,,Otunba Payne Street,,,,,,,,,,,,,,,,,,,+234 9099930754,,,,,,,,,,,,,,UNILAG Guest Houses and Conference Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3998473,6.4507061,way/740626967,yes,,LOBIM-D hotel,,hotel,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
